statevarSASPble,plate_id,concentration,timepoints,expression,Num_cells
CCA,1,0.0,3,26.76390707158866,384
CCA,1,0.0,18,28.150224327832472,515
CCA,1,0.0,21,42.51514232307262,289
CCA,1,0.0,24,72.30075951306881,27
CCA,1,0.0,30,91.8217535153019,1612
CCA,1,0.5,3,26.76390707158866,384
CCA,1,0.5,18,28.150224327832472,515
CCA,1,0.5,21,42.51514232307262,289
CCA,1,0.5,24,72.30075951306881,27
CCA,1,0.5,30,91.8217535153019,1612
CCA,2,0.0,3,26.141607181812013,179
CCA,2,0.0,18,NA,515
CCA,2,0.0,21,NA,289
CCA,2,0.0,24,27.57445762388905,76
CCA,2,0.0,30,68.1806794672873,8
CCA,2,0.5,3,26.141607181812013,179
CCA,2,0.5,18,NA,515
CCA,2,0.5,21,NA,289
CCA,2,0.5,24,27.57445762388905,76
CCA,2,0.5,30,68.1806794672873,8
CCA,3,0.0,3,17.926613953246765,458
CCA,3,0.0,18,NA,515
CCA,3,0.0,21,NA,289
CCA,3,0.0,24,NA,76
CCA,3,0.0,30,41.27898034483167,153
CCA,3,0.5,3,17.926613953246765,458
CCA,3,0.5,18,NA,515
CCA,3,0.5,21,NA,289
CCA,3,0.5,24,NA,76
CCA,3,0.5,30,41.27898034483167,153
SASP,1,0.0,3,0.564236111111111,384
SASP,1,0.0,18,10.58252427184466,515
SASP,1,0.0,21,2.364475201845444,289
SASP,1,0.0,24,29.62962962962963,27
SASP,1,0.0,30,91.8217535153019,1612
SASP,1,0.5,3,0.564236111111111,384
SASP,1,0.5,18,10.58252427184466,515
SASP,1,0.5,21,2.364475201845444,289
SASP,1,0.5,24,29.62962962962963,27
SASP,1,0.5,30,91.8217535153019,1612
SASP,2,0.0,3,0.5586592178770949,179
SASP,2,0.0,18,NA,515
SASP,2,0.0,21,NA,289
SASP,2,0.0,24,0.0,76
SASP,2,0.0,30,20.833333333333332,8
SASP,2,0.5,3,0.5586592178770949,179
SASP,2,0.5,18,NA,515
SASP,2,0.5,21,NA,289
SASP,2,0.5,24,0.0,76
SASP,2,0.5,30,20.833333333333332,8
SASP,3,0.0,3,0.1455604075691412,458
SASP,3,0.0,18,NA,515
SASP,3,0.0,21,NA,289
SASP,3,0.0,24,NA,76
SASP,3,0.0,30,15.686274509803923,153
SASP,3,0.5,3,0.1455604075691412,458
SASP,3,0.5,18,NA,515
SASP,3,0.5,21,NA,289
SASP,3,0.5,24,NA,76
SASP,3,0.5,30,15.686274509803923,153
SEN,1,0.0,3,14.885627947662007,384
SEN,1,0.0,18,20.748019344041143,515
SEN,1,0.0,21,31.45590206564709,289
SEN,1,0.0,24,74.65019053409674,27
SEN,1,0.0,30,91.8217535153019,1612
SEN,1,0.5,3,14.885627947662007,384
SEN,1,0.5,18,20.748019344041143,515
SEN,1,0.5,21,31.45590206564709,289
SEN,1,0.5,24,74.65019053409674,27
SEN,1,0.5,30,91.8217535153019,1612
SEN,2,0.0,3,16.238462480948574,179
SEN,2,0.0,18,NA,515
SEN,2,0.0,21,NA,289
SEN,2,0.0,24,28.1875535840695,76
SEN,2,0.0,30,7.76950867120928,8
SEN,2,0.5,3,16.238462480948574,179
SEN,2,0.5,18,NA,515
SEN,2,0.5,21,NA,289
SEN,2,0.5,24,28.1875535840695,76
SEN,2,0.5,30,7.76950867120928,8
SEN,3,0.0,3,12.570438549066536,458
SEN,3,0.0,18,NA,515
SEN,3,0.0,21,NA,289
SEN,3,0.0,24,NA,76
SEN,3,0.0,30,25.428033293981567,153
SEN,3,0.5,3,12.570438549066536,458
SEN,3,0.5,18,NA,515
SEN,3,0.5,21,NA,289
SEN,3,0.5,24,NA,76
SEN,3,0.5,30,25.428033293981567,153
